id	speaker_id	filename	sentence	sentence_norm	gender	age	native_language	dialect	created_at	marosijo_score	release	is_valid	empty	duration	sample_rate	size	user_agent	status
0000002	000001	000001-0000002.flac	Því sést hún oft á helgimyndum með augu sín á diski.	því sést hún oft á helgimyndum með augu sín á diski	male	20-29	Icelandic	NAN	2019-10-15 00:20:33	1.0	r1	1.0	0	4.62	16000	147918	NAN	test
0000003	000001	000001-0000003.flac	Bettý er sjöunda bók Arnaldar Indriðasonar.	bettý er sjöunda bók arnaldar indriðasonar	male	20-29	Icelandic	NAN	2019-10-15 00:20:33	1.0	r1	1.0	0	4.38	16000	140238	NAN	test
0000004	000001	000001-0000004.flac	Afar hafa sitt eigið tungumál og sérstaka menningu.	afar hafa sitt eigið tungumál og sérstaka menningu	male	20-29	Icelandic	NAN	2019-10-15 00:20:33	1.0	r1	1.0	0	4.62	16000	147918	NAN	test
0000006	000002	000002-0000006.flac	Fyrsta fullorðinstönnin kemur við sex ára aldurinn.	fyrsta fullorðinstönnin kemur við sex ára aldurinn	male	20-29	Icelandic	NAN	2019-10-15 00:22:21	1.0	r1	1.0	0	4.95	16000	158456	NAN	test
0000007	000002	000002-0000007.flac	Landið var þá kallað „Sviss Mið-Austurlanda“.	landið var þá kallað sviss mið austurlanda	male	20-29	Icelandic	NAN	2019-10-15 00:22:21	1.0	r1	1.0	0	4.31	16000	137976	NAN	test
0000008	000002	000002-0000008.flac	Ólafur var sonur Karls úr Bjarkey á Hálogalandi.	ólafur var sonur karls úr bjarkey á hálogalandi	male	20-29	Icelandic	NAN	2019-10-15 00:22:22	1.0	r1	1.0	0	4.52	16000	144804	NAN	test
0000010	000002	000002-0000010.flac	Á henni flytja Tatarar tvö lög.	á henni flytja tatarar tvö lög	male	20-29	Icelandic	NAN	2019-10-15 00:22:22	1.0	r1	1.0	0	3.75	16000	120228	NAN	test
0000011	000002	000002-0000011.flac	Sem dæmi um stjórnsýslueiningar má nefna.	sem dæmi um stjórnsýslueiningar má nefna	male	20-29	Icelandic	NAN	2019-10-15 00:42:14	1.0	r1	1.0	0	4.61	16000	147534	NAN	test
0000012	000002	000002-0000012.flac	Svo getum við skilgreint hröðun sem hraðabreytingu deilt með tíma.	svo getum við skilgreint hröðun sem hraðabreytingu deilt með tíma	male	20-29	Icelandic	NAN	2019-10-15 00:42:14	0.9411764705882353	r1	1.0	0	5.42	16000	173476	NAN	test
0000013	000002	000002-0000013.flac	Því miður naut hann ekki góðs af því sjálfur.	því miður naut hann ekki góðs af því sjálfur	male	20-29	Icelandic	NAN	2019-10-15 00:42:15	1.0	r1	1.0	0	3.75	16000	120228	NAN	test
0000015	000002	000002-0000015.flac	Sum skordýr eru afar smávaxin.	sum skordýr eru afar smávaxin	male	20-29	Icelandic	NAN	2019-10-15 00:42:15	1.0	r1	1.0	0	3.41	16000	109304	NAN	test
0000017	000003	000003-0000017.flac	Sjálfstæðisflokkurinn hélt meirihluta gegn sameinuðu framboði Alþýðuflokks, Alþýðubandalags og Framsóknarflokks.	sjálfstæðisflokkurinn hélt meirihluta gegn sameinuðu framboði alþýðuflokks alþýðubandalags og framsóknarflokks	male	20-29	Icelandic	NAN	2019-10-15 00:42:53	0.48453608247422686	r1	1.0	0	7.92	16000	253518	NAN	test
0000020	000003	000003-0000020.flac	Örnefnið er víðar til og oftast haft um sjávarhamra eða klettabelti.	örnefnið er víðar til og oftast haft um sjávarhamra eða klettabelti	male	20-29	Icelandic	NAN	2019-10-15 00:42:54	0.7068965517241379	r1	1.0	0	6.12	16000	195918	NAN	test
0000021	000004	000004-0000021.flac	Þar kemur ýmislegt fram um stærð alheimsins.	þar kemur ýmislegt fram um stærð alheimsins	male	20-29	NAN	NAN	2019-10-15 00:45:58	1.0	r1	1.0	0	4.14	16000	132558	NAN	test
0000022	000004	000004-0000022.flac	Landslag Austur-Afríku einkennist af Sigdalnum mikla og hæstu tindum álfunnar.	landslag austur afríku einkennist af sigdalnum mikla og hæstu tindum álfunnar	male	20-29	NAN	NAN	2019-10-15 00:45:59	1.0	r1	1.0	0	6.72	16000	215118	NAN	train
0000023	000004	000004-0000023.flac	Til nakó-flokksins teljast téténíska og ingúss.	til nakó flokksins teljast téténíska og ingúss	male	20-29	NAN	NAN	2019-10-15 00:45:59	1.0	r1	1.0	0	5.1	16000	163278	NAN	train
0000024	000004	000004-0000024.flac	Þessi efni smyrja liðinn og örva brjóskmyndun.	þessi efni smyrja liðinn og örva brjóskmyndun	male	20-29	NAN	NAN	2019-10-15 00:46:00	1.0	r1	1.0	0	5.1	16000	163278	NAN	train
0000025	000004	000004-0000025.flac	Sú notkun barst síðan hingað.	sú notkun barst síðan hingað	male	20-29	NAN	NAN	2019-10-15 00:46:00	1.0	r1	1.0	0	3.9	16000	124878	NAN	train
0000026	000001	000001-0000026.flac	Tilfinningaleg hlýja er mjög mikilvæg á öllum stigum uppeldisins, frá barnæsku til fullorðinsára.	tilfinningaleg hlýja er mjög mikilvæg á öllum stigum uppeldisins frá barnæsku til fullorðinsára	male	20-29	Icelandic	NAN	2019-10-15 10:39:25	1.0	r1	1.0	0	7.26	16000	232398	NAN	train
0000027	000001	000001-0000027.flac	Þurr augu eru afar algengt vandamál.	þurr augu eru afar algengt vandamál	male	20-29	Icelandic	NAN	2019-10-15 10:39:25	1.0	r1	1.0	0	4.2	16000	134478	NAN	train
0000029	000001	000001-0000029.flac	Svarið hér á eftir fjallar því eingöngu um blóðþrýsting.	svarið hér á eftir fjallar því eingöngu um blóðþrýsting	male	20-29	Icelandic	NAN	2019-10-15 10:39:26	1.0	r1	1.0	0	4.38	16000	140238	NAN	train
0000030	000001	000001-0000030.flac	Í hálsinum er kokið og barkakýlið að finna.	í hálsinum er kokið og barkakýlið að finna	male	20-29	Icelandic	NAN	2019-10-15 10:39:27	1.0	r1	1.0	0	3.84	16000	122958	NAN	train
0000036	000005	000005-0000036.flac	Víðsvegar um sólkerfið eru svo minni fyrirbæri eins og smástirni og halastjörnur.	víðsvegar um sólkerfið eru svo minni fyrirbæri eins og smástirni og halastjörnur	male	20-29	Icelandic	NAN	2019-10-15 12:26:14	0.8985507246376812	r1	1.0	0	6.6	16000	211278	NAN	train
0000042	000006	000006-0000042.flac	Ég varð að ná ykkur þaðan út.	ég varð að ná ykkur þaðan út	male	30-39	Icelandic	NAN	2019-10-15 16:21:19	1.0	r1	1.0	0	4.1	16000	131150	NAN	train
0000043	000006	000006-0000043.flac	Engin af þessum tilgátum hefur verið staðfest, og væntanlega er það ekki hægt.	engin af þessum tilgátum hefur verið staðfest og væntanlega er það ekki hægt	male	30-39	Icelandic	NAN	2019-10-15 16:21:19	0.9523809523809523	r1	1.0	0	6.44	16000	206244	NAN	train
0000044	000006	000006-0000044.flac	Hvað verður um munnvatnið þegar við sofum?	hvað verður um munnvatnið þegar við sofum	male	30-39	Icelandic	NAN	2019-10-15 16:21:19	0.8	r1	1.0	0	3.8	16000	121592	NAN	train
